Word_again,Your word is: ... Again. ... Again.
Word_answer,Your word is: ... Answer. ... Answer.
Word_arrive,Your word is: ... Arrive. ... Arrive.
Word_athletic,Your word is: ... Athletic. ... Athletic.
Word_backpack,Your word is: ... Backpack. ... Backpack.
Word_balloon,Your word is: ... Balloon. ... Balloon.
Word_believe,Your word is: ... Believe. ... Believe.
Word_birthday,Your word is: ... Birthday. ... Birthday.
Word_breakfast,Your word is: ... Breakfast. ... Breakfast.
Word_brought,Your word is: ... Brought. ... Brought.
Word_busy,Your word is: ... Busy. ... Busy.
Word_butterfly,Your word is: ... Butterfly. ... Butterfly.
Word_carbohydrates,Your word is: ... Carbohydrates. ... Carbohydrates.
Word_caught,Your word is: ... Caught. ... Caught.
Word_colorful,Your word is: ... Colorful. ... Colorful.
Word_complete,Your word is: ... Complete. ... Complete.
Word_construction,Your word is: ... Construction. ... Construction.
Word_decide,Your word is: ... Decide. ... Decide.
Word_delicious,Your word is: ... Delicious. ... Delicious.
Word_discuss,Your word is: ... Discuss. ... Discuss.
Word_downhill,Your word is: ... Downhill. ... Downhill.
Word_downtown,Your word is: ... Downtown. ... Downtown.
Word_early,Your word is: ... Early. ... Early.
Word_elephant,Your word is: ... Elephant. ... Elephant.
Word_enough,Your word is: ... Enough. ... Enough.
Word_exercise,Your word is: ... Exercise. ... Exercise.
Word_female,Your word is: ... Female. ... Female.
Word_fifteen,Your word is: ... Fifteen. ... Fifteen.
Word_finally,Your word is: ... Finally. ... Finally.
Word_follow,Your word is: ... Follow. ... Follow.
Word_football,Your word is: ... Football. ... Football.
Word_gather,Your word is: ... Gather. ... Gather.
Word_goalkeeper,Your word is: ... Goalkeeper. ... Goalkeeper.
Word_happen,Your word is: ... Happen. ... Happen.
Word_healthy,Your word is: ... Healthy. ... Healthy.
Word_huge,Your word is: ... Huge. ... Huge.
Word_investigate,Your word is: ... Investigate. ... Investigate.
Word_invisible,Your word is: ... Invisible. ... Invisible.
Word_jewelry,Your word is: ... Jewelry. ... Jewelry.
Word_kangaroo,Your word is: ... Kangaroo. ... Kangaroo.
Word_kittens,Your word is: ... Kittens. ... Kittens.
Word_listen,Your word is: ... Listen. ... Listen.
Word_majesty,Your word is: ... Majesty. ... Majesty.
Word_minute,Your word is: ... Minute. ... Minute.
Word_nineteen,Your word is: ... Nineteen. ... Nineteen.
Word_nutrients,Your word is: ... Nutrients. ... Nutrients.
Word_nutritious,Your word is: ... Nutritious. ... Nutritious.
Word_often,Your word is: ... Often. ... Often.
Word_opposite,Your word is: ... Opposite. ... Opposite.
Word_photography,Your word is: ... Photography. ... Photography.
Word_possible,Your word is: ... Possible. ... Possible.
Word_pretty,Your word is: ... Pretty. ... Pretty.
Word_preview,Your word is: ... Preview. ... Preview.
Word_raincoat,Your word is: ... Raincoat. ... Raincoat.
Word_sandcastle,Your word is: ... Sandcastle. ... Sandcastle.
Word_satellite,Your word is: ... Satellite. ... Satellite.
Word_scooter,Your word is: ... Scooter. ... Scooter.
Word_shoelace,Your word is: ... Shoelace. ... Shoelace.
Word_shopping,Your word is: ... Shopping. ... Shopping.
Word_skeleton,Your word is: ... Skeleton. ... Skeleton.
Word_sleeping,Your word is: ... Sleeping. ... Sleeping.
Word_someone,Your word is: ... Someone. ... Someone.
Word_sound,Your word is: ... Sound. ... Sound.
Word_squat,Your word is: ... Squat. ... Squat.
Word_stood,Your word is: ... Stood. ... Stood.
Word_strawberry,Your word is: ... Strawberry. ... Strawberry.
Word_theater,Your word is: ... Theater. ... Theater.
Word_though,Your word is: ... Though. ... Though.
Word_thought,Your word is: ... Thought. ... Thought.
Word_through,Your word is: ... Through. ... Through.
Word_together,Your word is: ... Together. ... Together.
Word_tomorrow,Your word is: ... Tomorrow. ... Tomorrow.
Word_unhealthy,Your word is: ... Unhealthy. ... Unhealthy.
Word_usually,Your word is: ... Usually. ... Usually.
Word_voice,Your word is: ... Voice. ... Voice.
Word_weather,Your word is: ... Weather. ... Weather.
Word_weekend,Your word is: ... Weekend. ... Weekend.
Word_whiskers,Your word is: ... Whiskers. ... Whiskers.
Word_wildlife,Your word is: ... Wildlife. ... Wildlife.
Word_window,Your word is: ... Window. ... Window.
Definition_again,One more time.
Definition_answer,A reply to a question.
Definition_arrive,To get to a place.
Definition_athletic,Good at sports or physical activity.
Definition_backpack,A bag carried on the back.
Definition_balloon,A light rubber bag filled with air.
Definition_believe,To think something is true.
Definition_birthday,The day someone was born.
Definition_breakfast,The first meal of the day.
Definition_brought,Took or carried something.
Definition_busy,Having a lot to do.
Definition_butterfly,An insect with colorful wings.
Definition_carbohydrates,Nutrients that give the body energy.
Definition_caught,Grabbed or captured.
Definition_colorful,Full of bright colors.
Definition_complete,Finished or whole.
Definition_construction,The act of building something.
Definition_decide,To make a choice.
Definition_delicious,Very tasty.
Definition_discuss,To talk about something.
Definition_downhill,Going toward a lower place.
Definition_downtown,The main part of a city.
Definition_early,Before the usual time.
Definition_elephant,A very large animal with a trunk.
Definition_enough,As much as needed.
Definition_exercise,Activity that keeps the body healthy.
Definition_female,A girl, woman, or female animal.
Definition_fifteen,The number 15.
Definition_finally,At last.
Definition_follow,To go after or obey.
Definition_football,A game played with an oval ball.
Definition_gather,To bring together.
Definition_goalkeeper,A player who protects the goal.
Definition_happen,To take place.
Definition_healthy,Strong and well.
Definition_huge,Very large.
Definition_investigate,To look into something carefully.
Definition_invisible,Unable to be seen.
Definition_jewelry,Rings, necklaces, and other ornaments.
Definition_kangaroo,An Australian animal that hops.
Definition_kittens,Young cats.
Definition_listen,To pay attention to sound.
Definition_majesty,Great beauty or greatness.
Definition_minute,A unit of time equal to sixty seconds.
Definition_nineteen,The number 19.
Definition_nutrients,Substances that help living things grow.
Definition_nutritious,Good for health and full of nutrients.
Definition_often,Many times.
Definition_opposite,Completely different or across from.
Definition_photography,The art of taking pictures.
Definition_possible,Able to happen or be done.
Definition_pretty,Attractive or nice to look at.
Definition_preview,A first look at something.
Definition_raincoat,A coat worn in the rain.
Definition_sandcastle,A castle-shaped structure made of sand.
Definition_satellite,An object that moves around a planet.
Definition_scooter,A small vehicle with two wheels.
Definition_shoelace,A string used to tie a shoe.
Definition_shopping,The activity of buying things.
Definition_skeleton,The set of bones in a body.
Definition_sleeping,Resting with your eyes closed.
Definition_someone,A person not named.
Definition_sound,Something that can be heard.
Definition_squat,To bend the knees and lower the body.
Definition_stood,Was standing upright.
Definition_strawberry,A small red fruit.
Definition_theater,A place where plays or movies are shown.
Definition_though,However or even if.
Definition_thought,An idea in the mind.
Definition_through,From one side to the other.
Definition_together,With each other.
Definition_tomorrow,The day after today.
Definition_unhealthy,Not good for health.
Definition_usually,Most of the time.
Definition_voice,The sound a person makes when speaking.
Definition_weather,The condition of the air outside.
Definition_weekend,Saturday and Sunday.
Definition_whiskers,Long stiff hairs on an animal's face.
Definition_wildlife,Animals living in nature.
Definition_window,An opening in a wall with glass.
Sentence_again,Please read the page again.
Sentence_answer,She knew the answer right away.
Sentence_arrive,We will arrive before noon.
Sentence_athletic,My athletic cousin plays three sports.
Sentence_backpack,He packed his books in his backpack.
Sentence_balloon,The red balloon floated away.
Sentence_believe,I believe her story.
Sentence_birthday,We baked a cake for her birthday.
Sentence_breakfast,I ate toast for breakfast.
Sentence_brought,Dad brought snacks for the trip.
Sentence_busy,The store was busy on Saturday.
Sentence_butterfly,A butterfly landed on the flower.
Sentence_carbohydrates,Bread and rice contain carbohydrates.
Sentence_caught,She caught the ball easily.
Sentence_colorful,The parrot has colorful feathers.
Sentence_complete,He turned in his complete project.
Sentence_construction,The road is closed for construction.
Sentence_decide,We need to decide soon.
Sentence_delicious,The soup was delicious.
Sentence_discuss,Let's discuss the plan after lunch.
Sentence_downhill,The bike rolled downhill fast.
Sentence_downtown,We walked downtown after dinner.
Sentence_early,She woke up early today.
Sentence_elephant,The elephant sprayed water with its trunk.
Sentence_enough,We have enough juice for everyone.
Sentence_exercise,I do exercise every morning.
Sentence_female,The female lion rested in the shade.
Sentence_fifteen,There are fifteen students in the class.
Sentence_finally,The bus finally arrived.
Sentence_follow,Please follow the directions carefully.
Sentence_football,They played football in the park.
Sentence_gather,We gather leaves in the yard.
Sentence_goalkeeper,The goalkeeper blocked the shot.
Sentence_happen,Funny things happen at camp.
Sentence_healthy,Eating fruit helps you stay healthy.
Sentence_huge,They saw a huge whale.
Sentence_investigate,The police will investigate the case.
Sentence_invisible,The tiny insect seemed invisible.
Sentence_jewelry,She keeps her jewelry in a small box.
Sentence_kangaroo,The kangaroo carried its baby in a pouch.
Sentence_kittens,The kittens slept in a basket.
Sentence_listen,Please listen to the teacher.
Sentence_majesty,We admired the majesty of the mountains.
Sentence_minute,Wait a minute for me.
Sentence_nineteen,Nineteen birds sat on the fence.
Sentence_nutrients,Vegetables give us important nutrients.
Sentence_nutritious,Oatmeal is a nutritious breakfast.
Sentence_often,We often visit our grandparents.
Sentence_opposite,Black is the opposite of white.
Sentence_photography,Her hobby is photography.
Sentence_possible,It is possible to finish today.
Sentence_pretty,She wore a pretty dress.
Sentence_preview,We watched a preview of the movie.
Sentence_raincoat,He put on his raincoat before leaving.
Sentence_sandcastle,The children built a sandcastle on the beach.
Sentence_satellite,The satellite sent pictures to Earth.
Sentence_scooter,She rode her scooter to the park.
Sentence_shoelace,His shoelace came untied.
Sentence_shopping,We went shopping for groceries.
Sentence_skeleton,The museum displayed a dinosaur skeleton.
Sentence_sleeping,The baby is sleeping now.
Sentence_someone,Someone knocked at the door.
Sentence_sound,I heard a strange sound outside.
Sentence_squat,We learned how to squat safely.
Sentence_stood,He stood by the window.
Sentence_strawberry,I put a strawberry on my pancake.
Sentence_theater,We met at the theater.
Sentence_though,It was cold, though we still went outside.
Sentence_thought,That thought made her smile.
Sentence_through,We walked through the tunnel.
Sentence_together,They worked together on the puzzle.
Sentence_tomorrow,We will leave tomorrow morning.
Sentence_unhealthy,Too much candy can be unhealthy.
Sentence_usually,I usually read before bed.
Sentence_voice,Her voice was calm and clear.
Sentence_weather,The weather is sunny today.
Sentence_weekend,We visit the lake on the weekend.
Sentence_whiskers,The cat's whiskers twitched.
Sentence_wildlife,The forest is full of wildlife.
Sentence_window,She opened the window for fresh air.
